City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,chernyshevskiy,63.0128,112.4714,-2.77,75,72,3.07,RU,1682057471
306,howard springs,-12.497,131.047,31.66,70,62,4.6,AU,1682057471
307,lata,40.1629,-8.3327,7.82,84,76,1.57,PT,1682057472
308,kuala belait,4.5833,114.1833,29.78,69,99,3.22,BN,1682057472
309,ciudad bolivar,8.1222,-63.5497,25.94,78,96,5.4,VE,1682057473
310,wajir,1.7471,40.0573,28.9,63,88,5.14,KE,1682057473
311,bor,56.3567,44.0669,13.96,51,94,2.06,RU,1682057473
312,nikel,69.4128,30.222,2.1,92,100,4.36,RU,1682057474
313,sumberpucung,-8.1586,112.4829,27.64,79,99,1.47,ID,1682057474
314,celldomolk,47.2571,17.1503,10.05,75,97,1.53,HU,1682057475
315,jutai,-5.1833,-68.9,22.9,99,100,1.06,BR,1682057475
316,nagqu,31.5,92.0,6.12,32,90,9.08,CN,1682057476
317,shakiso,5.75,38.9167,18.1,89,97,1.17,ET,1682057476
318,banyo,6.75,11.8167,19.94,86,78,1.41,CM,1682057477
319,zima,53.9202,102.0442,2.14,23,90,3.34,RU,1682057477
320,aldan,58.6031,125.3894,-3.21,86,100,6.1,RU,1682057477
321,beawar,26.1,74.3167,33.38,8,0,2.6,IN,1682057332
322,inirida,3.8653,-67.9239,23.32,93,97,0.72,CO,1682057478
323,northam,51.0333,-4.2167,7.01,85,36,4.54,GB,1682057479
324,tarawa,1.419,172.984,30.05,74,20,2.57,KI,1682057480
325,marsh harbour,26.5412,-77.0636,23.44,78,1,5.35,BS,1682057480
326,hecun,36.5333,114.1111,8.76,68,100,5.86,CN,1682057480
327,bondoukou,8.0333,-2.8,23.05,90,24,3.96,CI,1682057481
328,kharovsk,59.9642,40.1912,4.49,76,100,0.78,RU,1682057481
329,afaahiti,-17.75,-149.2833,27.81,80,100,9.76,PF,1682057482
330,palmas,-10.2128,-48.3603,23.93,100,40,1.03,BR,1682057482
331,ataq,14.5377,46.8319,26.91,30,36,3.33,YE,1682057482
332,langzhong,31.5504,105.9938,13.24,93,100,5.57,CN,1682057483
333,gizo,-8.103,156.8419,28.77,69,90,2.9,SB,1682057483
334,newman,37.3138,-121.0208,14.99,77,7,0.89,US,1682057484
335,nassau,40.7507,-73.5829,11.63,80,0,0.45,US,1682057484
336,kone,-21.0595,164.8658,26.17,82,36,2.19,NC,1682057484
337,ngudu,-2.9667,33.3333,22.4,68,100,2.77,TZ,1682057485
338,gardnerville ranchos,38.8882,-119.7413,11.55,51,20,2.57,US,1682057485
339,puerto deseado,-47.7503,-65.8938,15.07,41,100,5.84,AR,1682057486
340,buston,40.2342,69.6948,19.1,32,44,2.0,TJ,1682057486
341,namibe,-15.1961,12.1522,24.0,83,96,1.08,AO,1682057486
342,al qitena,14.8648,32.3668,32.9,9,0,5.01,SD,1682057487
343,bogande,12.9714,-0.1436,29.14,13,99,2.26,BF,1682057487
344,raja,8.4596,25.678,28.33,44,41,2.5,SS,1682057488
345,itamaraca,-7.7478,-34.8256,26.03,77,63,2.54,BR,1682057488
346,nova vicosa,-17.8919,-39.3719,24.41,89,100,7.34,BR,1682057488
347,port blair,11.6667,92.75,32.15,54,44,1.87,IN,1682057489
348,cabedelo,-6.9811,-34.8339,24.37,73,94,3.43,BR,1682057490
349,rongelap,11.1635,166.8941,26.9,78,71,8.85,MH,1682057490
350,baotou,40.6522,109.8222,11.63,37,99,2.69,CN,1682057491
351,crane,31.3974,-102.3501,19.57,19,11,3.79,US,1682057491
352,huilong,31.8111,121.655,15.76,51,8,7.88,CN,1682057491
353,talakan,50.3167,130.3667,4.0,70,100,5.58,RU,1682057492
354,port macquarie,-31.4333,152.9167,21.05,61,68,6.58,AU,1682057492
355,touros,-5.1989,-35.4608,26.41,75,100,4.0,BR,1682057493
356,mildura,-34.2,142.15,22.82,50,0,4.39,AU,1682057464
357,shubarkuduk,49.1447,56.4872,15.01,29,81,8.05,KZ,1682057494
358,norderney,53.7,7.15,9.54,89,23,10.44,DE,1682057495
359,semey,50.4111,80.2275,7.12,29,0,3.0,KZ,1682057495
360,howrah,22.5892,88.3103,39.0,27,40,4.63,IN,1682057396
361,nieuw amsterdam,5.8833,-55.0833,25.08,91,100,3.17,SR,1682057496
